;Gloss;Examples
574.;"「つまり〜」 {詰まり〜* 515} [""that is, __"", ""in sum, __""]";"723-18; 887-44; 903-30; 984-13; 1138-12; 1158-10; 1191-25; 1236-35"
575.;"「〜つもり」 {〜積もり* 832} [intention/conviction]";"55-18; 136-20; 137-15; 287-3; 352-5; 371-31; 448-29"
576.;"「〜つつ」 [""while __""]";"1191-26; 1661-59; 1775-23; 1849-19; 1912-40; 1915-20"
577.;"「-つつある」 [""__ing""]";"251-6; 445-38; 812-19; 938-29; 1089-27; 1245-14; 1593-35; 2020-57"
578.;"「〜(っ)たって / 〜だって」 [""even if __""]";445-40
579.;"「-って」 [colloquial topic marker]";"120-2; 122-6; 1468-4"
580.;"「-って」 [colloquial quote marker]";"117-1; 117-22; 460-13"
581.;"「-って」 [colloquial contraction of という].";"526-23; 1317-25"
582.;"「〜うちに」 {〜内に* 215} [""while __"", ""before __ ends""]";"138-5; 145-4; 194-11; 226-5; 390-4; 639-5; 675-8"
583.;"「うえ(に)」 {上に 41} [""(and) moreover""]";1839-46
584.;"「-うる / -える」 {-得る* 387} [""can/could __""]";"387-19; 893-19; 995-20; 1236-30; 1257-58"
585.;"「Verbal connectives akin to -て」";"67-12; 142-20; 183-19; 187-9; 199-7; 219-14; 224-11; 357-18; 450-24"
586.;"「Verbs of potential」 [""can __""]";"15-8; 36-9; 37-4; 55-4; 63-2; 67-8; 135-9; 280-16"
587.;"「Verb stem + に + verb of motion」 [""(go) __ing""; ""(go) to (do) __""]";"21-9; 74-1"
588.;"「Volitional」 [""let's __""; ""I'll __""]";"2-10; 12-6; 16-6; 32-2; 60-6; 78-4"
589.;"「Volitional + とおもう」 {Volitional + と思う 142} [""think about __ing""]";"142-21; 274-13; 352-14"
590.;"「わ」 [female speech marker]";"141-20; 173-24; 218-9; 219-2; 377-9; 385-8"
591.;"「AはBがC」 [C describes something about B, as an attribute of subject A]";"10-6; 29-4; 29-5"
592.;"「〜はいうまでもなく / 〜はのべるまでもなく」 {〜は言うまでもなく / 〜は述べるまでもなく 51, 994} [""__ is needless to mention""]";"1624-7; 2197-34"
593.;"「わかる」 {分かる 88} [""understand""]";"5-8; 47-9"
594.;"「〜わけだ」 {〜訳だ* 1505} [""the fact is/was that __""]";"153-7; 273-18; 301-9; 518-13; 726-9; 793-37; 839-43"
595.;"「〜わけではない」 {〜訳ではない* 1505} [""it is/was not the case that __""]";"153-7; 269-15; 618-10; 683-31; 800-12; 870-14"
596.;"「〜わけがない」 {〜訳がない* 1505} [""__ is impossible""]";1958-20
597.;"「〜わけにはいかない」 {〜訳にはいかない* 1505} [""cannot __""]";1037-24
598.;"「〜はおろか」 {〜は疎か* 1142} [""let alone __""]";1970-51
599.;"「〜わりに(は)」 {〜割に(は) / 〜割りに(は) 416} [""considering __"", ""for (a)  __""]";"416-10; 629-11; 676-9"
600.;"「わざわざ〜」 {態態〜** 893} [""take the trouble to __""]";"1481-20; 1637-3"
601.;"「〜を」 [indicates direct object]";"2-8; 2-9; 2-10; 3-2; 5-7"
602.;"「〜を」 [indicates space of motion]";"215-10; 228-4; 255-5; 475-6; 475-14; 679-18; 704-30"
603.;"「〜を」 [indicates place from which one exits]";"38-4; 99-16; 104-5; 272-3; 1377-7; 1521-23; 1970-40"
604.;"「〜を」 [indicates source of emotion]";"1212-3; 1245-8; 1633-4"
605.;"「〜をはじめ(として)」 {〜を始めとして 956} [""starting with __""]";1238-26
606.;"「〜をめぐる / 〜をめぐって」 {〜を巡る* / 〜を巡って* 1553} [""over __""]";"1447-13; 1553-17; 1620-18; 1694-8"
607.;"「〜をものともせず」 [""undaunted by __""]";1946-12
608.;"「〜をとわず」 {〜を問わず 452} [""irrespective of __""]";"1661-50; 1712-43; 1872-29"
609.;"「〜をつうじて / 〜をとおして」 {〜を通じて / 〜を通して 159} [instrument/means: ""through __""]";"327-14; 953-11; 1066-36; 1257-60; 1264-5"
610.;"「〜をつうじて / 〜をとおして」 {〜を通じて / 〜を通して 159} [duration: ""throughout __""]";"426-6; 954-14; 2189-44"
611.;"「や」 [""and"" within a non-exhaustive list; cf. と]";"131-6; 420-13; 435-12; 461-15; 718-21"
612.;"「やはり / やっぱり」 {矢張り** 559, 2020} [""as (might be) expected""; ""still""]";"603-6; 1257-52; 1911-13; 1918-23; 2045-18"
613.;"「〜やいなや」 {〜や否や 552} [""no sooner did __ than""]";"552-11; 578-11; 1009-27; 1588-3; 1825-12"
614.;"「やむをえない」 {止むを得ない 42, 387} [""inevitable""]";387-18
615.;"「やむをえず」 {止むを得ず 42, 387} [""inevitably""]";1890-12
616.;"「-やすい」 {-易い* 443} [""easy to __""]";"82-3; 88-19; 103-5; 443-5"
617.;"「やってくる」 {やって来る 274} [""come (to)"", ""approach""; ""come around""; ""turn up""].";"90-8; 194-12; 238-11; 266-30"
618.;"「やっと〜」 [""finally __""]";"15-8; 46-17; 70-4"
619.;"「〜よ」 [assertion]";"15-17; 21-4; 47-9; 51-3; 53-14"
620.;"「-よう」 [""way to __""]";"706-40; 1458-9; 2125-7"
621.;"「-よう」 [conjecture]";"455-16; 494-4; 679-33"
622.;"「〜ようだ」 [""looks like __""; ""seems (that) __""]";"92-8; 195-6; 386-12; 476-7; 517-4; 564-5; 637-3"
623.;"「〜ような」 [""like __""]";"96-10; 126-26; 141-20; 147-9; 147-11; 173-25; 204-2; 273-22; 344-11"
624.;"「〜ように」 [""as __"", ""as if __""]";"81-3; 84-14; 113-2; 113-4; 182-13; 191-21; 218-10; 273-22; 499-33"
625.;"「〜ように」 [""so that __""]";"285-10; 448-39; 464-17; 532-35; 679-24; 705-40; 787-21"
626.;"「〜ようにいう」 {〜ように言う 51} [""tell (someone) to __""]";"252-21; 279-12; 373-7; 469-2; 620-7; 698-27; 805-10"
627.;"「〜ようになる」 [""reach the point where __""]";"303-13; 327-14; 532-30; 649-20; 683-32; 699-27; 734-10"
628.;"「〜ようにおもわれる / 〜とおもわれる」 {〜ように思われる / と思われる 142} [""seem(s) __""]";"357-23; 625-14; 788-28; 978-26; 1009-32; 1057-16"
629.;"「〜ようにする」 [""make sure (that) __""; ""(act) so as to __""]";"86-15; 87-6; 383-30; 416-8; 580-17; 704-32"
630.;"「ようするに〜」 {要するに〜 547} [""in sum, __""]";"562-11; 677-25; 1130-51; 1575-11"
631.;"「-ようとも / -くとも」 [""even if __"", ""no matter __""]";"677-32; 1236-34"
632.;"「-ようとする」 [""try to __""]";"42-6; 56-6; 67-15; 92-6; 139-14; 809-8"
633.;"「ようやく〜」 {漸く〜** 1705} [""finally __""]";"265-2; 953-10; 976-27; 999-4"
634.;"「〜ゆえに」 {〜故に* 257} [""therefore"", ""because of __""]";"257-3; 686-18; 1059-38; 1457-14; 2045-15"
635.;"「-ざるをえない」 {-ざるを得ない* 387} [""have no choice but to __""]";"387-6; 387-16; 646-19; 1285-4; 1286-9; 1332-15"
636.;"「〜ぜ」 [""__, I'm telling you""]";1934-10
637.;"「〜ぞ」 [""__, I'm telling you""]";"46-8; 113-23; 182-13; 386-10; 578-8; 704-12; 716-12; 917-37"
638.;"「-ず」 [""not __, so __""; ""not __, but __""]";"151-10; 228-13; 274-20"
639.;"「-ずに」 [""without __ing""]";"217-2; 138-9; 134-16"
640.;"「-づらい」 {-辛い* 1462} [""hard to __""]";185-10
641.;"「-ずつ」 [""__ each""]";"2-8; 15-6; 86-8; 93-4; 113-14"
000.;"「×」 [""x mark represent a cross-out mark (the opposite of 〇 mark)""]";14-2
000.;"「〜で」 [means or condition of an action]";"8-5"
000.;"「〜に」[location]";1-6
